"","x"
"(Intercept)",60
"FinFSLdat_AnnEsts",60
"FinFSLdat_SpringDat",60
"FinFSLdat_SummerDat",49
"FSL_months_Apr",43
"FSL_months_Jan",44
"FSL_months_May",41
"FSL_months_Oct",46
"FSLdat_Autumn",49
"s(Ages).1",60
"s(Ages).2",60
"s(Ages).3",60
"s(Ages).4",60
"s(Ages).5",60
"s(Ages).6",60
"s(Ages).7",60
"s(Ages).8",60
"s(Ages).9",60
"FinSouthSST_AnnEsts",27
"SST_South_Months_Jun",22
