,Estimate..Intercept.,Std..Error..Intercept.,df..Intercept.,Estimate.FinFSLdat_AnnEsts,Std..Error.FinFSLdat_AnnEsts,df.FinFSLdat_AnnEsts,Estimate.FinWestSST_AnnEsts,Std..Error.FinWestSST_AnnEsts,df.FinWestSST_AnnEsts,Estimate.FSL_months_Apr,Std..Error.FSL_months_Apr,df.FSL_months_Apr,Estimate.FSLdat_Spring,Std..Error.FSLdat_Spring,df.FSLdat_Spring,Estimate.SST_West_Months_Sep,Std..Error.SST_West_Months_Sep,df.SST_West_Months_Sep,Estimate.WestSST_Spring,Std..Error.WestSST_Spring,df.WestSST_Spring,Estimate.s.Ages..1,Std..Error.s.Ages..1,df.s.Ages..1,Estimate.s.Ages..2,Std..Error.s.Ages..2,df.s.Ages..2,Estimate.s.Ages..3,Std..Error.s.Ages..3,df.s.Ages..3,Estimate.s.Ages..4,Std..Error.s.Ages..4,df.s.Ages..4,Estimate.s.Ages..5,Std..Error.s.Ages..5,df.s.Ages..5,Estimate.s.Ages..6,Std..Error.s.Ages..6,df.s.Ages..6,Estimate.s.Ages..7,Std..Error.s.Ages..7,df.s.Ages..7,Estimate.s.Ages..8,Std..Error.s.Ages..8,df.s.Ages..8,Estimate.s.Ages..9,Std..Error.s.Ages..9,df.s.Ages..9,Estimate.SST_West_Months_Oct,Std..Error.SST_West_Months_Oct,df.SST_West_Months_Oct,Estimate.FinWestSST_SummerDat,Std..Error.FinWestSST_SummerDat,df.FinWestSST_SummerDat,Estimate.WestSST_Winter,Std..Error.WestSST_Winter,df.WestSST_Winter,Estimate.SST_West_Months_Jul,Std..Error.SST_West_Months_Jul,df.SST_West_Months_Jul,Estimate.SST_West_Months_Jun,Std..Error.SST_West_Months_Jun,df.SST_West_Months_Jun
88,-5.074658531,7.961936604,1144.08928,-5.495497376,5.722726915,1144.08928,0.942767194,0.621271282,1144.08928,2.840413478,2.305762496,1144.08928,5.588167728,4.20055769,1144.08928,0.538332879,0.430354987,1144.08928,NA,NA,NA,16.64970987,1.548659039,1144.08928,-19.01521955,4.229221782,1144.08928,-12.29430816,1.330484029,1144.08928,12.68632811,2.991927904,1144.08928,11.24959099,1.42344102,1144.08928,-10.44138482,2.66307183,1144.08928,10.17380666,1.755652633,1144.08928,-27.03995089,9.090481201,1144.08928,-14.62763764,2.792379224,1144.08928,-0.063415485,0.310340919,1144.08928,NA,NA,NA,-1.085343678,0.644597493,1144.08928,0.824296482,0.463804647,1144.08928,NA,NA,NA
89,-6.848346175,8.19906496,1143.08845,-5.785302275,5.797856687,1143.08845,1.585458326,0.782722701,1143.08845,3.827363958,2.385447652,1143.08845,4.850530117,4.166917449,1143.08845,NA,NA,NA,-0.704375005,0.966227509,1143.08845,16.78260462,1.549722113,1143.08845,-18.91230231,4.232990779,1143.08845,-12.41713335,1.330066971,1143.08845,12.54381024,2.994577336,1143.08845,11.16221433,1.42504507,1143.08845,-10.36683069,2.665529269,1143.08845,10.12785486,1.757113844,1143.08845,-26.58957394,9.097371692,1143.08845,-14.95657349,2.796374825,1143.08845,0.22125375,0.424872711,1143.08845,NA,NA,NA,-1.047890569,1.657845881,1143.08845,0.812311751,0.816502784,1143.08845,0.304861716,0.656467011,1143.08845
90,-14.68900814,9.027236844,1145.092925,-5.510550127,5.588600666,1145.092925,1.950040187,0.641608761,1145.092925,NA,NA,NA,6.735263838,4.284667534,1145.092925,0.880575442,0.465008207,1145.092925,-2.155101526,0.972449141,1145.092925,16.61858811,1.547275769,1145.092925,-18.86175501,4.219777228,1145.092925,-12.18305998,1.326866478,1145.092925,12.53181682,2.984092702,1145.092925,11.21174371,1.420181165,1145.092925,-10.35393236,2.657199822,1145.092925,10.11063424,1.752200778,1145.092925,-26.75111782,9.068560717,1145.092925,-14.77880247,2.783338612,1145.092925,0.515050694,0.428845212,1145.092925,0.429448093,0.329343616,1145.092925,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,-9.270823455,8.788302468,1146.10656,-5.528169293,5.682785811,1146.10656,1.107309134,0.501136265,1146.10656,2.235101515,2.327239524,1146.10656,5.264303106,4.277163201,1146.10656,0.127059596,0.361711755,1146.10656,NA,NA,NA,16.59047085,1.544972829,1146.10656,-18.88794465,4.210889219,1146.10656,-12.19912649,1.325371093,1146.10656,12.5151017,2.977727207,1146.10656,11.14386698,1.419484895,1146.10656,-10.34284607,2.650551694,1146.10656,10.06161374,1.749902564,1146.10656,-26.80247808,9.046519007,1146.10656,-14.58813276,2.775996843,1146.10656,NA,NA,NA,0.138067087,0.341882592,1146.10656,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,4.675814825,4.611561283,1148.072288,0.566323544,4.850734932,1148.072288,NA,NA,NA,1.768395105,2.10263337,1148.072288,2.435049646,3.930815354,1148.072288,NA,NA,NA,NA,NA,NA,16.75771567,1.547216698,1148.072288,-18.52706007,4.244040606,1148.072288,-12.40512358,1.326768687,1148.072288,12.29994824,3.002206568,1148.072288,11.12278205,1.424655445,1148.072288,-10.19714693,2.675214576,1148.072288,10.03245999,1.760060903,1148.072288,-25.65000967,9.124506849,1148.072288,-15.12006632,2.800455911,1148.072288,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596150855,0.249196051,1148.072288,NA,NA,NA
93,-6.246839332,7.518935611,1148.095818,-4.802133362,5.461712345,1148.095818,1.565218202,0.616914731,1148.095818,NA,NA,NA,6.789376875,4.074172011,1148.095818,NA,NA,NA,-0.360250403,0.474607255,1148.095818,16.67692209,1.543980777,1148.095818,-18.7650622,4.219527375,1148.095818,-12.24566714,1.323304414,1148.095818,12.41547347,2.983730619,1148.095818,11.1528255,1.420533471,1148.095818,-10.2727019,2.657027312,1148.095818,10.03416033,1.75238745,1148.095818,-26.39216203,9.068346566,1148.095818,-14.78530628,2.783376411,1148.095818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,-9.263767899,8.850044468,1146.104341,-5.341569829,5.648995414,1146.104341,1.247944397,0.490203075,1146.104341,2.499403365,2.373177272,1146.104341,4.999791045,4.206359654,1146.104341,NA,NA,NA,NA,NA,NA,16.6232852,1.544197587,1146.104341,-18.92697851,4.214670861,1146.104341,-12.24621854,1.322913712,1146.104341,12.54421611,2.98078025,1146.104341,11.15186407,1.420410287,1146.104341,-10.35744088,2.652473861,1146.104341,10.07212653,1.750765002,1146.104341,-26.83407431,9.054313374,1146.104341,-14.59816913,2.778251884,1146.104341,NA,NA,NA,0.175501654,0.330322963,1146.104341,-0.075873696,0.361487158,1146.104341,NA,NA,NA,NA,NA,NA
95,-7.288311805,7.468340641,1146.103905,-0.580496667,3.250009071,1146.103905,1.956772988,0.654569673,1146.103905,4.691959401,2.268831679,1146.103905,NA,NA,NA,0.781300193,0.454800445,1146.103905,-2.081337711,0.968576011,1146.103905,16.51896229,1.544616076,1146.103905,-18.71275748,4.20811686,1146.103905,-12.1950919,1.325265881,1146.103905,12.42618116,2.975293109,1146.103905,11.07897507,1.417931443,1146.103905,-10.27953196,2.648946089,1146.103905,10.01148858,1.748564796,1146.103905,-26.466894,9.039661659,1146.103905,-14.74728321,2.774977753,1146.103905,0.464296377,0.42889031,1146.103905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,-5.024990643,7.375906737,1149.1086,0.101304769,3.200511126,1149.1086,1.081053518,0.397136535,1149.1086,3.355564247,2.04569761,1149.1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5228593,1.539847634,1149.1086,-18.74416804,4.204322208,1149.1086,-12.21316269,1.320330981,1149.1086,12.43271496,2.973055518,1149.1086,11.06000519,1.417282939,1149.1086,-10.27177833,2.646516537,1149.1086,9.98900799,1.747506158,1149.1086,-26.49602374,9.031819497,1149.1086,-14.57227368,2.769973644,1149.1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,-12.78275445,9.404422875,1143.08282,-4.077192549,5.837808693,1143.08282,1.642314736,0.776781453,1143.08282,2.74998949,2.490986192,1143.08282,3.869300832,4.265871379,1143.08282,NA,NA,NA,-1.068092802,0.921479117,1143.08282,16.77008882,1.549730689,1143.08282,-18.97038913,4.2367186,1143.08282,-12.44280498,1.330511968,1143.08282,12.63057412,2.99804241,1143.08282,11.1993551,1.424246608,1143.08282,-10.41397931,2.668432265,1143.08282,10.16831048,1.757962366,1143.08282,-26.73060533,9.10788531,1143.08282,-14.96254857,2.799101105,1143.08282,0.30050813,0.419617423,1143.08282,0.39678708,0.345898005,1143.08282,-0.381118925,0.662677346,1143.08282,0.565216182,0.490991152,1143.08282,NA,NA,NA
