"","x"
"1","(Intercept)"
"2","FinFSLdat_AnnEsts"
"3","FinWestSST_AnnEsts"
"4","FSL_months_Apr"
"5","FSLdat_Spring"
"6","SST_West_Months_Sep"
"7","WestSST_Spring"
"8","s(Ages).1"
"9","s(Ages).2"
"10","s(Ages).3"
"11","s(Ages).4"
"12","s(Ages).5"
"13","s(Ages).6"
"14","s(Ages).7"
"15","s(Ages).8"
"16","s(Ages).9"
"17","SST_West_Months_Oct"
"18","FinWestSST_SummerDat"
"19","WestSST_Winter"
"20","SST_West_Months_Jul"
"21","SST_West_Months_Jun"
