"","x"
"1","(Intercept)"
"2","FinFSLdat_AnnEsts"
"3","FinFSLdat_SpringDat"
"4","FinFSLdat_SummerDat"
"5","FSL_months_Apr"
"6","FSL_months_Jan"
"7","FSL_months_May"
"8","FSL_months_Oct"
"9","FSLdat_Autumn"
"10","s(Ages).1"
"11","s(Ages).2"
"12","s(Ages).3"
"13","s(Ages).4"
"14","s(Ages).5"
"15","s(Ages).6"
"16","s(Ages).7"
"17","s(Ages).8"
"18","s(Ages).9"
"19","FinSouthSST_AnnEsts"
"20","SST_South_Months_Jun"
