,x
FinFSLdat_AnnEsts,1
FinWestSST_AnnEsts,2
FinWestSST_SummerDat,3
FSL_months_Apr,4
FSLdat_Spring,5
s(Ages),6
SST_West_Months_Jul,7
SST_West_Months_Jun,8
SST_West_Months_Oct,9
SST_West_Months_Sep,10
WestSST_Spring,11
WestSST_Winter,12
