"","x"
"(Intercept)",199
"FinFSLdat_AnnEsts",199
"FinWestSST_AnnEsts",177
"FSL_months_Apr",153
"FSLdat_Spring",178
"SST_West_Months_Sep",105
"WestSST_Spring",115
"s(Ages).1",199
"s(Ages).2",199
"s(Ages).3",199
"s(Ages).4",199
"s(Ages).5",199
"s(Ages).6",199
"s(Ages).7",199
"s(Ages).8",199
"s(Ages).9",199
"SST_West_Months_Oct",70
"FinWestSST_SummerDat",79
"WestSST_Winter",107
"SST_West_Months_Jul",114
"SST_West_Months_Jun",71
