"","Estimate","Std. Error","Adjusted SE","z value","Pr(>|z|)"
"(Intercept)",-9.05422046771759,8.9776433538772,8.98544098254532,1.00765454754039,0.3136203
"FinFSLdat_AnnEsts",-6.16457049102427,5.98686746219628,5.99240161949037,1.02873119701689,0.303606
"FinWestSST_AnnEsts",1.6414001183798,0.840640198426824,0.841153188161057,1.95136883683251,0.0510132
"FSL_months_Apr",3.21454199101501,2.5341322055938,2.53618952451465,1.26746915399794,0.2049876
"FSLdat_Spring",5.61685534641707,4.39330402548693,4.39737928000325,1.27731882759336,0.2014897
"SST_West_Months_Sep",0.449204114051961,0.533556172910409,0.533800303584476,0.841520904045107,0.4000562
"WestSST_Spring",-0.973799979962816,1.02564539825045,1.02608407449868,0.949045018985009,0.3425977
"s(Ages).1",16.6302193477837,1.54670314244867,1.54833570527416,10.7407064831842,0
"s(Ages).2",-18.8603243595817,4.21913625937114,4.22359814947332,4.46546373308112,8e-06
"s(Ages).3",-12.2547957078533,1.32815557993455,1.32955535060184,9.21721363635291,0
"s(Ages).4",12.5250409007255,2.9844276494628,2.98758297500895,4.19236587083845,2.76e-05
"s(Ages).5",11.1611807110855,1.42151993865947,1.42302194344473,7.84329487152353,0
"s(Ages).6",-10.3484920102645,2.65622988993599,2.65903923382202,3.89181621641209,9.95e-05
"s(Ages).7",10.0877058088857,1.75248929055316,1.75434174414688,5.7501372480829,0
"s(Ages).8",-26.6978126678592,9.0669291643751,9.07651757768252,2.94141585022698,0.0032672
"s(Ages).9",-14.7871936157128,2.78581501661973,2.78875828476656,5.3024292913757,1e-07
"SST_West_Months_Oct",0.105268744045083,0.304977766083064,0.305159807783252,0.344962676473611,0.7301224
"FinWestSST_SummerDat",0.0920994827645727,0.237378448955027,0.237533680708185,0.387732310171705,0.6982141
"WestSST_Winter",-0.34277157354245,0.924912078848839,0.925358918745406,0.370420132770943,0.7110695
"SST_West_Months_Jul",0.293203693299332,0.550590061199753,0.550812764624684,0.532310999544677,0.5945106
"SST_West_Months_Jun",0.0380032736620522,0.309058300806683,0.309266820116558,0.12288183274148,0.9022007
