Year,040018,040019,040033,040036,040045,040046,040055,040070,050085,050088,050099,050103,050110,050113,050116,050134,050184,050193,050255,050263,050289,060028,060083,060123
1983,16.49566667,19.39,17.1995,22.28533333,22.11566667,20.28133333,26.673,16.76733333,20.4695,19.49833333,14.371,20.03966667,19.523,15.33166667,19.22333333,19.54233333,19.291,19.43733333,21.357,16.62933333,21.82133333,17.651,15.25666667,13.708
1982,11.05033333,13.9455,18.6595,21.36133333,20.109,17.47866667,21.00333333,16.364,20.98,19.699,12.8945,20.368,17.98333333,19.654,29.48233333,14.10866667,18.13233333,18.06166667,18.66866667,16.44566667,19.74233333,16.59533333,14.563,10.98066667
1981,11.18966667,15.2175,19.9485,18.13166667,19.83333333,22.45533333,20.83033333,14.927,18.3805,15.13966667,13.939,16.56433333,20.93766667,18.13433333,24.85633333,21.99466667,14.67866667,18.12733333,16.96866667,14.92466667,17.661,16.40433333,19.24566667,15.74666667
1980,11.93166667,17.82,21.742,17.12966667,21.53933333,19.32666667,17.89733333,16.55266667,21.1775,15.235,12.3555,20.873,21.65833333,19.26266667,20.235,14.461,16.47333333,19.29266667,16.65366667,16.09033333,22.33433333,18.29333333,18.215,10.98533333
1979,16.09166667,18.1095,17.607,17.03633333,18.21066667,19.40766667,20.081,15.85133333,20.103,20.05666667,14.3345,21.97066667,19.23766667,16.31566667,23.28333333,14.40366667,19.07233333,20.00933333,18.90566667,16.54133333,23.69866667,15.891,17.174,12.04733333
1978,18.79466667,14.2015,19.374,16.07333333,16.75933333,20.834,20.45033333,17.41733333,16.7765,13.666,16.2805,19.569,18.412,15.837,21.779,15.757,21.922,18.80366667,24.074,16.96366667,22.66366667,19.48233333,17.34433333,15.76533333
1977,14.493,17.786,18.6385,17.95266667,20.858,15.98733333,19.93566667,15.483,15.166,16.68233333,14.352,19.22366667,18.75633333,19.382,22.23,16.89633333,14.56766667,16.00166667,22.16866667,16.13966667,18.62,16.01733333,14.39533333,11.82433333
1976,16.127,20.647,19.34,19.12766667,19.36733333,20.618,18.038,15.785,15.4425,18.99933333,12.1035,21.48766667,22.00233333,18.42033333,25.115,14.247,16.79466667,16.343,22.85666667,15.615,17.382,15.87,16.478,15.321
1975,19.04166667,19.864,16.5605,16.99833333,20.292,21.59066667,15.657,16.26766667,21.9235,15.54466667,13.33,23.39766667,17.194,15.513,25.22133333,13.132,15.42666667,17.05533333,20.23833333,15.78633333,19.73466667,16.29933333,17.311,12.86133333
1974,17.15833333,15.929,25.194,14.85133333,22.06933333,18.1,21.78866667,15.89733333,15.3025,16.735,12.2165,21.11833333,16.756,18.085,19.194,17.18133333,16.28333333,17.355,22.12933333,16.12,18.75033333,16.45633333,20.943,11.96133333
1973,18.526,16.681,20.892,18.57433333,26.11533333,18.492,17.52566667,15.83966667,18.9345,18.345,11.3805,26.955,17.35733333,16.61433333,20.99866667,17.926,14.57,13.94633333,24.215,15.95633333,18.26,17.18366667,18.35866667,12.54733333
1972,22.21033333,15.157,17.6865,19.05833333,25.18133333,21.26533333,18.426,16.455,22.848,19.65333333,13.1,21.57933333,22.35833333,15.16666667,19.90333333,14.645,15.796,18.63533333,26.542,15.10566667,18.36766667,15.491,19.877,14.68333333
1971,30.39433333,17.488,24.708,22.041,22.14,20.69266667,17.659,19.394,26.9445,17.144,11.9215,27.401,17.91833333,17.74966667,19.38766667,17.648,15.98433333,22.162,20.861,15.452,21.63133333,20.72133333,,11.56666667
1970,,19.5145,17.598,21.413,31.64,22.112,19.974,15.493,23.903,28.821,13.99,17.825,17.692,24.3665,30.649,13.33033333,16.425,20.70033333,23.724,16.641,20.10033333,18.81966667,,11.20566667
1969,,20.614,25.4895,19.93233333,30.00533333,19.981,18.688,18.39466667,23.202,31.406,13.858,19.70033333,22.90566667,31.9615,18.46333333,13.1695,18.66866667,15.464,28.72666667,19.10733333,22.1525,14.736,,12.94733333
1968,,20.3335,25.991,22.38966667,26.499,21.85633333,21.08566667,18.858,25.161,19.873,12.6435,21.601,21.33266667,48.176,22.627,14.9555,17.45366667,23.042,18.069,17.40466667,19.208,18.249,,13.01566667
1967,,19.558,22.8345,16.80966667,,20.358,17.52,13.96566667,,,12.0845,19.67166667,30.73933333,,32.788,,17.45166667,27.668,28.54133333,17.84566667,19.208,17.41066667,,14.39633333
1966,,21.3355,26.691,17.447,,26.39033333,20.26966667,15.573,,,10.636,19.01133333,27.11466667,,22.4015,,21.74733333,,40.98533333,12.53,,17.51233333,,12.79
1965,,18.3595,,20.52966667,,26.933,19.46833333,17.09166667,,,8.9135,17.46433333,,,32.786,,20.03333333,,40.29366667,15.666,,17.444,,14.33433333
1964,,20.655,,18.9485,,16.23433333,14.51966667,18.892,,,10.689,21.255,,,42.144,,16.831,,39.7,14.45033333,,14.4185,,14.05666667
1963,,18.864,,13.5855,,21.502,17.81966667,14.34,,,11.3985,18.18466667,,,41.763,,20.31,,,13.99333333,,30.039,,14.122
1962,,20.366,,29.189,,23.65366667,16.24433333,18.29066667,,,12.7465,21.85833333,,,,,,,,13.07666667,,17.746,,12.629
1961,,23.517,,,,21.49733333,21.61366667,15.43766667,,,12.1585,21.12933333,,,,,,,,21.51033333,,24.056,,14.437
1960,,19.3315,,,,18.648,19.71333333,17.381,,,9.827,23.46433333,,,,,,,,14.6355,,,,17.96133333
1959,,20.7695,,,,18.829,19.70833333,19.65466667,,,8.4135,23.003,,,,,,,,17.0635,,,,15.58
1958,,22.391,,,,25.125,19.28,22.6155,,,10.509,21.61566667,,,,,,,,16.41,,,,15.04266667
1957,,19.785,,,,17.06,19.06766667,23.407,,,10.876,22.361,,,,,,,,22.406,,,,19.878
1956,,28.5425,,,,,19.76366667,12.548,,,12.847,25.657,,,,,,,,22.891,,,,15.984
1955,,27.348,,,,,20.94666667,17.308,,,14.785,17.324,,,,,,,,23.7975,,,,20.49233333
1954,,,,,,,16.75566667,19.891,,,12.557,14.609,,,,,,,,26.862,,,,20.05766667
1953,,,,,,,19.59733333,,,,12.7435,17.265,,,,,,,,,,,,26.62466667
1952,,,,,,,19.52666667,,,,14.993,,,,,,,,,,,,,26.732
1951,,,,,,,23.83966667,,,,14.509,,,,,,,,,,,,,27.3925
1950,,,,,,,24.99166667,,,,15.0535,,,,,,,,,,,,,
1949,,,,,,,24.976,,,,15.6415,,,,,,,,,,,,,
1948,,,,,,,,,,,21.201,,,,,,,,,,,,,
1947,,,,,,,,,,,20.786,,,,,,,,,,,,,
