"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1959",0.604,0.689,0.619,0.819,0.815,0.806,0.792,0.721,0.633,0.653,0.633,0.566
"1960",0.547,0.669,0.671,0.761,0.829,0.754,0.804,0.662,0.552,0.603,0.552,0.58
"1961",0.65,0.73,0.712,0.687,0.79,0.794,0.687,0.679,0.551,0.548,0.551,0.597
"1962",0.751,0.711,0.68,0.763,0.908,0.921,0.856,0.775,0.685,0.67,0.685,0.726
"1963",0.741,0.804,0.825,0.802,0.976,0.966,0.927,0.831,0.641,0.634,0.641,0.694
"1964",0.583,0.657,0.683,0.779,0.813,1.049,0.954,0.846,0.664,0.69,0.664,0.656
"1965",0.671,0.645,0.703,0.797,NA,0.872,NA,NA,0.667,0.69,0.667,0.751
"1966",0.601,0.692,0.76,0.761,0.809,0.781,0.761,0.698,0.634,0.628,0.634,0.691
"1967",NA,NA,0.629,0.774,0.828,0.873,0.766,0.699,0.603,0.639,0.603,0.69
"1968",0.673,0.635,0.693,0.771,0.772,0.928,0.875,0.719,0.586,0.654,0.586,0.636
"1969",0.62,0.585,0.669,0.737,0.747,0.859,0.733,0.648,0.578,0.568,0.578,0.553
"1970",0.618,0.769,0.695,0.728,0.861,0.886,0.777,0.669,0.646,0.679,0.646,0.687
"1971",0.765,0.77,0.741,0.777,0.852,0.829,0.8,0.675,0.66,0.71,0.66,0.616
"1972",0.677,0.74,0.668,0.769,0.812,0.75,0.719,0.69,0.558,0.549,0.558,0.609
"1973",0.639,0.542,0.653,0.804,0.93,0.827,0.879,0.773,0.664,0.654,0.664,0.699
"1974",0.751,0.738,0.748,0.832,0.981,0.905,0.872,0.824,0.688,0.733,0.688,0.714
"1975",0.626,0.692,0.799,0.865,0.945,0.961,0.878,0.829,0.733,0.79,0.733,0.776
"1976",0.763,0.794,0.772,0.834,0.847,0.775,0.756,0.749,0.618,0.627,0.618,0.648
"1977",0.638,0.672,0.664,0.718,0.782,0.827,0.732,0.692,0.584,0.619,0.584,0.664
"1978",0.684,0.632,0.753,0.817,0.888,0.849,0.838,0.751,0.682,0.624,0.682,0.709
"1979",0.585,0.614,0.748,0.767,0.801,0.807,0.723,0.673,0.717,0.61,0.717,0.636
"1980",0.706,0.601,0.699,0.818,0.811,0.782,0.736,0.694,0.624,0.554,0.624,0.655
"1981",0.616,0.55,0.688,0.777,0.812,0.824,0.867,0.763,0.707,0.676,0.707,0.66
"1982",0.638,0.635,0.682,0.701,0.752,0.821,0.734,0.664,0.617,0.579,0.617,0.627
"1983",0.58,0.678,0.628,0.821,0.806,0.942,0.809,0.833,0.62,0.625,0.62,0.679
"1984",0.673,0.701,0.729,0.879,1.002,0.919,0.802,0.751,0.669,0.733,0.669,0.637
"1985",0.581,0.847,0.737,0.873,0.82,0.891,0.792,0.743,0.666,0.598,0.666,0.631
"1986",0.685,0.713,0.762,0.713,0.821,0.818,0.759,0.685,0.604,0.599,0.604,0.54
"1987",0.578,0.522,0.693,0.738,0.678,0.841,0.773,0.675,0.582,0.564,0.582,0.614
"1988",0.585,0.702,0.737,0.795,0.901,0.924,0.826,0.809,0.697,0.781,0.697,0.72
"1989",0.762,0.829,0.802,0.907,0.914,0.849,0.827,0.758,0.685,0.687,0.685,0.632
"1990",0.659,0.762,0.737,0.753,0.776,0.764,0.755,0.659,0.611,0.609,0.611,0.635
"1991",0.606,0.572,0.714,0.837,0.823,0.894,0.86,0.699,0.593,0.617,0.593,0.615
"1992",0.604,0.655,0.675,0.766,0.793,0.9,0.772,0.753,0.662,0.599,0.662,0.602
"1993",0.613,0.53,0.625,0.672,0.732,0.775,0.739,0.656,0.603,0.56,0.603,0.597
"1994",0.623,0.64,0.75,0.777,0.807,0.799,0.747,0.691,0.609,0.565,0.609,0.637
"1995",0.61,0.645,0.707,0.785,0.815,0.833,0.852,0.761,0.751,0.717,0.751,0.758
"1996",0.723,0.847,0.733,0.828,0.868,1.002,0.977,0.814,0.774,0.739,0.774,0.718
"1997",0.804,0.778,0.65,0.796,0.825,0.835,0.74,0.666,0.58,0.551,0.58,0.583
"1998",0.507,0.543,0.71,0.796,0.913,0.926,0.822,0.807,0.719,0.704,0.719,0.7
