"Year","FishName","Ages","Site","OtoWidth","FSLann","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
1938,"X060149",1,"West",2.62839417283226,0.945715481499551,1.02081669957036,1.00863683482204,1.02466635740529,1.02709645975894,1.02407255075507,1.01561168717637,1.00370434438421,1.01381185303089,1.02280045764655,1.0238659298442
1939,"X060149",2,"West",1.77031089052154,1.03897847662331,1.01275356801984,1.00073915781,1.00442612885706,1.03784461694374,1.01088625020812,1.00397843165372,0.993640034262161,0.990293379004976,1.02690066574657,1.0081074834953
1940,"X060149",3,"West",1.44869597000727,0.841927282254636,1.01571857471964,0.996030793781764,1.00644310122268,1.01812975078554,1.0467892204026,1.0105893384572,0.99235635794427,0.996750124990974,1.011481212249,1.04636149302447
1940,"X060089",1,"West",1.20305153342914,0.841879043417624,1.01572480428884,0.996022311881817,1.00645189086177,1.0181486854769,1.04679699754596,1.01060037890061,0.992349853992246,0.996772319101248,1.01149987206969,1.0463719430484
1941,"X060149",4,"West",1.29553371643565,0.890955278108581,1.01846571162041,1.01934479108792,1.01533038732355,1.01606001001079,1.02352088727498,1.01115792324428,1.01437413878978,1.00511290645586,1.00779188531238,1.01792543225623
1941,"X060089",2,"West",1.02883740271245,0.890904236257204,1.01847195802953,1.01933611078517,1.01533925466487,1.01607890677297,1.02352849152863,1.01116897008733,1.01436749063009,1.00513528776174,1.00781047765402,1.01793559836809
1942,"X060089",3,"West",0.962848604492406,0.793440058016321,1.02412695229143,1.00388561872384,1.02873659247808,1.04234811510368,1.02373013104289,1.01794840288598,1.00015276655294,1.01253468606282,1.03622362091905,1.02573986496419
1942,"X060149",5,"West",1.06419728400416,0.793394608541831,1.02413323330953,1.00387707016946,1.02874557691704,1.04236750120287,1.02373773664749,1.01795952403977,1.00014621169994,1.01255723362201,1.03624273828253,1.02575010902396
1943,"X060089",4,"West",0.787305056329546,0.94847282468566,1.01916317534424,1.00756106602449,1.02289700329766,1.02839897551906,1.01889438807098,1.01574249451268,1.00812161748573,1.01383550039342,1.02028933229256,1.02195385589817
1943,"X060149",6,"West",0.958294973261584,0.948418502531469,1.01916942565257,1.00755248622419,1.02290593662646,1.02841810238995,1.0189019573021,1.01575359159215,1.00811501049437,1.01385807788483,1.02030815601815,1.02196406182217
1944,"X060089",5,"West",0.856698287368386,0.945291618043975,1.02634886490483,1.01811783055508,0.996136993735333,1.04836595550419,1.04859780611214,1.02085171029164,1.01529207391705,0.985468766142857,1.04055959032643,1.04789521831954
1944,"X060149",7,"West",1.02070419245834,0.945237487045066,1.02635515880318,1.01810916084357,0.996145693069683,1.04838545363138,1.04860559523846,1.02086286307386,1.01528541999685,0.985490712808515,1.04057878814033,1.04790568268154
1945,"X060089",6,"West",0.848509719619399,1.05292508306102,1.03353472949356,1.0264923514595,1.04418804658876,1.05434546618217,1.00825224699103,1.02806326948596,1.02166416718005,1.03260628862677,1.04822986642285,1.0094871165801
1945,"X060149",8,"West",0.817160079572148,1.05286479995044,1.03354106670777,1.02648361031789,1.04419716503496,1.05436507500356,1.00825973531142,1.02807450074932,1.02165747151093,1.03262928592613,1.04824920555742,1.00949719641968
1946,"X060149",9,"West",0.903351689872303,0.977570564049787,1.00655761745257,1.00599907874599,1.02713479083704,0.994019148408421,0.996042273957623,1.00046325915628,0.999940696871059,1.01444193678143,0.989873632639398,0.995730555839701
1946,"X060089",7,"West",0.808622145193239,0.977514607103671,1.00656378819107,1.00599051184885,1.02714375958696,0.994037634280328,0.99604967005668,1.00047418836095,0.999934143487278,1.01446453031295,0.989891894567071,0.995740496924479
1947,"X050099",1,"South",0.694459448506919,0.964744516072222,0.991640209235759,0.985506503167696,0.992507035431442,1.00306337593216,0.986160531020069,0.985012831081783,0.983485613403024,0.980419698802512,0.992927633994543,0.983967481043542
1947,"X060149",10,"West",0.747836653567626,0.964689306306522,0.991646287100842,0.985498110334086,0.992515700729941,1.00308202842546,0.98616785178052,0.985023590705007,0.983479167661918,0.980441535212516,0.99294595125031,0.983977302878029
1947,"X060089",8,"West",0.997240024299664,0.964634106698195,0.991652364151062,0.98548971727996,0.992524365423515,1.00310068026442,0.98617517145522,0.985034349949071,0.983472721823317,0.980463372368649,0.9929642681777,0.98398712374881
1947,"X060254",1,"West",1.04893275884338,0.96457891758908,0.991658440295308,0.985481323965189,0.992533029423604,1.00311933130543,0.986182489943358,0.98504510875476,0.983466275867052,0.980485210245339,0.99298258467349,0.983996943557898
1948,"X060089",9,"West",0.816294266382045,1.00195126210203,1.01327507229659,0.997892037446293,1.03321414311816,1.02211212358179,0.998997466981319,1.00755052682831,0.994474069066069,1.02164281292071,1.01430231430769,0.999234575039198
1948,"X060149",11,"West",0.704475397576087,1.0018939543453,1.01328127873177,0.997883537724536,1.03322316043911,1.02213112533333,0.999004877820416,1.00756153025978,0.99446755063857,1.02166556841771,1.01432102253022,0.999244544376613
1948,"X050099",2,"South",0.582939862489498,1.00183665861051,1.0132874839695,0.99787503763879,1.03323217676075,1.02215012582013,0.999012287171597,1.00757253308041,0.994461032056793,1.02168832460684,1.01433973000077,0.999254512360899
1948,"X060254",2,"West",0.711645809956541,1.00177937527229,1.01329368791365,0.997866537158428,1.0332411919748,1.02216912488025,0.99901969494164,1.00758353523409,0.99445451331357,1.02171108146012,1.01435843660938,0.999264478902612
1948,"X040055",1,"South",1.56838922454111,1.00172210470457,1.01329989046404,0.997858036253465,1.03325020596266,1.02218812234486,0.999027101037609,1.00759453666244,0.994447994403394,1.0217338389429,1.01437714224169,0.99927444391253
1949,"X050099",3,"South",0.650786832974917,1.06237893881079,1.0233046427734,1.01664522071834,1.01032765971841,1.0450165399484,1.02406858679506,1.02072463456465,1.01184021060495,1.00982275632335,1.03463405583264,1.02919767421108
1949,"X060089",10,"West",0.759980832353901,1.06231822516451,1.02331090339042,1.01663655873351,1.01033647086981,1.04503595751127,1.02407617475709,1.02073577757532,1.01183357728933,1.00984524912058,1.03465313230049,1.02920793408882
1949,"X060254",3,"West",0.864292721457179,1.06225752622548,1.02331716226815,1.01662789622166,1.01034528042167,1.04505537287483,1.02408376071007,1.02074691965498,1.01182694379099,1.00986774240175,1.03467220738829,1.02921819210371
1949,"X060149",12,"West",0.667257923123279,1.06219684234849,1.02332341928279,1.01661923314336,1.01035408823144,1.04507478582408,1.02409134454447,1.02075806072703,1.0118203101005,1.00989023611335,1.03469128094878,1.02922844814618
1949,"X040055",2,"South",1.27636465535264,1.06213617386834,1.02332967430338,1.01661056945408,1.0103628941534,1.04509419612977,1.0240989261433,1.02076920070846,1.0118136762048,1.00991273019889,1.03471035282383,1.02923870209756
1950,"X040055",3,"South",1.0660033896308,1.01243592979345,1.0273713403034,1.01106412648612,1.02844991927596,1.04894747590187,1.02313615622031,1.02910637482289,1.0188301545422,1.03035064664796,1.04271892593784,1.02544162107858
1950,"X060149",13,"West",0.743312923870051,1.01237812709195,1.02737761556254,1.01105550862284,1.02845887845723,1.0489669513578,1.02314372578831,1.02911760319179,1.01882347413207,1.03037359601879,1.04273814115441,1.02545183254183
1950,"X060254",4,"West",0.802500577232022,1.01232033992802,1.02738388838044,1.0110468899907,1.0284678352461,1.04898642338304,1.02315129272797,1.02912883016846,1.01881679345164,1.03039654557227,1.042757354126,1.02546204151418
1950,"X050099",4,"South",0.672354740259579,1.01226256857473,1.02739015859418,1.01103827052856,1.02847678947014,1.04900589168791,1.02315885689326,1.02914005563825,1.01881011246895,1.0304194952257,1.04277656464452,1.02547224784353
1950,"X060267",1,"West",2.17347984195826,1.01220481330122,1.02739642603237,1.01102965017194,1.02848574094812,1.04902535596719,1.023166418131,1.0291512794775,1.01880343114629,1.03044244488693,1.04279577248841,1.02548245136998
1950,"X060089",11,"West",0.849792309557657,1.01214707437282,1.0274026905151,1.01102102885298,1.02849468948992,1.0490448159001,1.02317397628087,1.02916250155345,1.01879674944015,1.03046539445434,1.04281497742261,1.02549265192567
1951,"X060149",14,"West",0.603082560726237,0.93060010829928,0.982345189072459,0.980807886472249,0.972424742043367,0.985990048707253,0.991934902472955,0.981695393287794,0.974099291984904,0.972375146558476,0.991695707615193,0.990872183807508
1951,"X040055",4,"South",1.07887341486252,0.930547049050019,0.982351172587272,0.980799520643498,0.972433196546212,0.986008329496057,0.991942223327175,0.981706093885685,0.974092902504012,0.972396801413974,0.991713964525048,0.990882033639967
1951,"X060251",1,"West",1.28088343826554,0.930494005567246,0.982357152727074,0.980791153674582,0.97244164770277,0.986026605229514,0.991949540690795,0.981716792386339,0.974086512513906,0.972418455859492,0.991732217938167,0.990891880081817
1951,"X060254",5,"West",0.757910585330729,0.930440978126551,0.982363129314068,0.980782785504533,0.972450095332729,0.986044875585137,0.991956854399311,0.981727488656674,0.974080121977179,0.97244010979741,0.991750467610269,0.990901722961089
1951,"X060089",12,"West",0.888891696987953,0.930387967022901,0.982369102175661,0.980774416078059,0.972458539263839,0.986063140244554,0.991964164290631,0.981738182569003,0.974073730864031,0.97246176313817,0.991768713299503,0.9909115621085
1951,"X050099",5,"South",0.624995335666238,0.930334972570668,0.982375071144454,0.980766045345549,0.972466979331892,0.986081398893451,0.991971470205029,0.98174887400103,0.974067339152274,0.972483415800275,0.991786954766419,0.990921397357463
1951,"X060267",2,"West",1.27122235102475,0.930281995103553,0.982381036058283,0.980757673263079,0.972475415380759,0.986099651221662,0.991978771985187,0.981759562835851,0.974060946827328,0.972505067710291,0.99180519177402,0.990931228544103
1952,"X060149",15,"West",0.504390584998399,0.960437382458652,0.995973963165986,0.981420471255069,1.00998365476568,1.01909714605213,0.973159489797221,0.985765629944285,0.975331374532906,0.997817754455748,1.00318899242105,0.965918207262046
1952,"X050099",6,"South",0.559031108406837,0.960382720781732,0.995980001883056,0.981412090632324,1.00999240731257,1.01911599479172,0.973166644435047,0.985776356731828,0.975324972587368,0.997839967696764,1.00320742868061,0.96592778180852
1952,"X060089",13,"West",0.846703106990448,0.960328077784997,0.99598603602277,0.98140370856077,1.01000115523573,1.01913483605107,0.973173794574616,0.985787080590552,0.975318570029357,0.99786217998076,1.00322585972128,0.965937351940307
1952,"X060267",3,"West",1.40302889987417,0.960273453875606,0.995992065433675,0.981395325018837,1.01000989838362,1.01915366950621,0.973180940081993,0.985797801422338,0.975312166874032,0.997884391250195,1.00324428530619,0.965946917522732
1952,"X040055",5,"South",0.891112668774027,0.960218849471959,0.995998089965519,0.981386939990458,1.0100186366017,1.01917249482729,0.973188080831129,0.985808519133278,0.975305763143802,0.997906601448161,1.00326270519752,0.965956478431057
1952,"X060251",2,"West",1.29379262349613,0.960164265003748,0.996004109469251,0.981378553465068,1.0100273697323,1.0191913116785,0.973195216703829,0.985819233633694,0.97529935886833,0.997928810518367,1.00328111915642,0.965966034550414
1952,"X060254",6,"West",0.627370879482142,0.960109700912069,0.996010123796995,0.981370165437611,1.01003609761475,1.0192101197181,0.97320234758975,0.985829944838097,0.975292954084539,0.99795101840515,1.003299526943,0.965975585775863
