"Year","FSLdat_Year","FSLdat_Annual","FSLdat_Summer","FSLdat_Autumn","FSLdat_Winter","FSLdat_Spring","FSL_months_X","FSL_months_Jan","FSL_months_Feb","FSL_months_Mar","FSL_months_Apr","FSL_months_May","FSL_months_Jun","FSL_months_Jul","FSL_months_Aug","FSL_months_Sep","FSL_months_Oct","FSL_months_Nov","FSL_months_Dec","LagFSLdat_Year","LagFSLdat_Annual","LagFSLdat_Summer","LagFSLdat_Autumn","LagFSLdat_Winter","LagFSLdat_Spring","LagFSL_months_X","LagFSL_months_Jan","LagFSL_months_Feb","LagFSL_months_Mar","LagFSL_months_Apr","LagFSL_months_May","LagFSL_months_Jun","LagFSL_months_Jul","LagFSL_months_Aug","LagFSL_months_Sep","LagFSL_months_Oct","LagFSL_months_Nov","LagFSL_months_Dec","FinFSLdat_Years","FinFSLdat_AnnEsts","FinFSLdat_SummerDat","FinFSLdat_AutumnDat","FinFSLdat_SpringDat","LagFinFSLdat_Years","LagFinFSLdat_AnnEsts","LagFinFSLdat_SummerDat","LagFinFSLdat_AutumnDat","LagFinFSLdat_SpringDat","LagFinFSLdat_Year","SouthSST_Year","SouthSST_Annual","SouthSST_Summer","SouthSST_Autumn","SouthSST_Winter","SouthSST_Spring","SST_South_Months_Year","SST_South_Months_Jan","SST_South_Months_Feb","SST_South_Months_Mar","SST_South_Months_Apr","SST_South_Months_May","SST_South_Months_Jun","SST_South_Months_Jul","SST_South_Months_Aug","SST_South_Months_Sep","SST_South_Months_Oct","SST_South_Months_Nov","SST_South_Months_Dec","LagSouthSST_Year","LagSouthSST_Annual","LagSouthSST_Summer","LagSouthSST_Autumn","LagSouthSST_Winter","LagSouthSST_Spring","LagSST_South_Months_Year","LagSST_South_Months_Jan","LagSST_South_Months_Feb","LagSST_South_Months_Mar","LagSST_South_Months_Apr","LagSST_South_Months_May","LagSST_South_Months_Jun","LagSST_South_Months_Jul","LagSST_South_Months_Aug","LagSST_South_Months_Sep","LagSST_South_Months_Oct","LagSST_South_Months_Nov","LagSST_South_Months_Dec","FinSouthSST_Years","FinSouthSST_AnnEsts","FinSouthSST_SummerDat","FinSouthSST_AutumnDat","FinSouthSST_SpringDat","LagFinSouthSST_Years","LagFinSouthSST_AnnEsts","LagFinSouthSST_SummerDat","LagFinSouthSST_AutumnDat","LagFinSouthSST_SpringDat","LagFinSouthSST_Year","MIC","Depth"
1965,1965,0.709666666666667,0.689,NA,NA,0.649333333333333,1965,0.671,0.645,0.703,0.797,NA,0.872,NA,NA,0.667,0.69,0.667,0.751,1965,0.704333333333333,0.661333333333333,0.776666666666667,0.746666666666667,0.632666666666667,1965,0.601,0.692,0.76,0.761,0.809,0.781,0.761,0.698,0.634,0.628,0.634,0.691,1965,NA,0.657333333333333,NA,0.632666666666667,1966,NA,0.681333333333333,0.776666666666667,0.619333333333333,1965,1965,18.3933333333333,19.3833333333333,19.7166666666667,17.8066666666667,16.6666666666667,1965,19.52,19.92,20.03,19.57,19.55,18.35,17.93,17.14,16.2,16.8,17,18.71,1964,18.3933333333333,19.3833333333333,19.7166666666667,17.8066666666667,16.6666666666667,1965,19.97,20.07,20.07,19.87,18.86,17.9,16.98,16.44,16.37,16.41,17.84,18.64,1965,18.3766666666667,19.0266666666667,19.7166666666667,16.8733333333333,1965,18.3766666666667,19.0266666666667,19.7166666666667,16.8733333333333,1964,20.9713891559505,17
1966,1966,0.704333333333333,0.661333333333333,0.776666666666667,0.746666666666667,0.632666666666667,1966,0.601,0.692,0.76,0.761,0.809,0.781,0.761,0.698,0.634,0.628,0.634,0.691,1966,0.7117,NA,0.743666666666667,0.779333333333333,0.619333333333333,1966,NA,NA,0.629,0.774,0.828,0.873,0.766,0.699,0.603,0.639,0.603,0.69,1966,NA,0.681333333333333,0.776666666666667,0.619333333333333,1967,0.707083333333333,NA,0.743666666666667,0.636666666666667,1966,1966,18.285,19.56,19.6,17.1066666666667,16.8733333333333,1966,19.97,20.07,20.07,19.87,18.86,17.9,16.98,16.44,16.37,16.41,17.84,18.64,1965,18.285,19.56,19.6,17.1066666666667,16.8733333333333,1966,19.87,19.98,20.23,19.47,18.9,18.68,17.32,16.63,15.87,16.66,17.27,18.37,1966,18.3175,19.5833333333333,19.6,16.6,1966,18.3175,19.5833333333333,19.6,16.6,1965,21.6055690676445,17
1967,1967,0.7117,NA,0.743666666666667,0.779333333333333,0.619333333333333,1967,NA,NA,0.629,0.774,0.828,0.873,0.766,0.699,0.603,0.639,0.603,0.69,1967,0.717666666666667,0.648,0.745333333333333,0.840666666666667,0.636666666666667,1967,0.673,0.635,0.693,0.771,0.772,0.928,0.875,0.719,0.586,0.654,0.586,0.636,1967,0.707083333333333,NA,0.743666666666667,0.636666666666667,1968,0.696416666666667,0.666,0.745333333333333,0.552666666666667,1967,1967,18.2708333333333,19.4066666666667,19.5333333333333,17.5433333333333,16.6,1967,19.87,19.98,20.23,19.47,18.9,18.68,17.32,16.63,15.87,16.66,17.27,18.37,1966,18.2708333333333,19.4066666666667,19.5333333333333,17.5433333333333,16.6,1967,19.5,19.86,19.16,18.35,17.22,16.83,16.92,15.76,15.6,16.57,17.31,17.81,1967,17.7533333333333,19.4966666666667,19.5333333333333,16.4933333333333,1967,17.7533333333333,19.4966666666667,19.5333333333333,16.4933333333333,1966,21.1033065567877,17
1968,1968,0.717666666666667,0.648,0.745333333333333,0.840666666666667,0.636666666666667,1968,0.673,0.635,0.693,0.771,0.772,0.928,0.875,0.719,0.586,0.654,0.586,0.636,1968,0.65075,0.586,0.717666666666667,0.746666666666667,0.552666666666667,1968,0.62,0.585,0.669,0.737,0.747,0.859,0.733,0.648,0.578,0.568,0.578,0.553,1968,0.696416666666667,0.666,0.745333333333333,0.552666666666667,1969,0.679083333333333,0.613666666666667,0.717666666666667,0.678666666666667,1968,1968,17.5741666666667,19.0566666666667,18.2433333333333,16.5033333333333,16.4933333333333,1968,19.5,19.86,19.16,18.35,17.22,16.83,16.92,15.76,15.6,16.57,17.31,17.81,1967,17.5741666666667,19.0566666666667,18.2433333333333,16.5033333333333,16.4933333333333,1968,19.5,19.92,19.57,19.35,18.81,17.52,17.47,16.75,16.57,16.47,17.2,17.72,1968,17.8866666666667,19.2433333333333,18.2433333333333,16.7466666666667,1968,17.8866666666667,19.2433333333333,18.2433333333333,16.7466666666667,1967,19.995249496021,19
1969,1969,0.65075,0.586,0.717666666666667,0.746666666666667,0.552666666666667,1969,0.62,0.585,0.669,0.737,0.747,0.859,0.733,0.648,0.578,0.568,0.578,0.553,1969,0.727166666666667,0.691333333333333,0.761333333333333,0.777333333333333,0.678666666666667,1969,0.618,0.769,0.695,0.728,0.861,0.886,0.777,0.669,0.646,0.679,0.646,0.687,1969,0.679083333333333,0.613666666666667,0.717666666666667,0.678666666666667,1970,0.741916666666667,0.646666666666667,0.761333333333333,0.706333333333333,1969,1969,18.0708333333333,19.0466666666667,19.2433333333333,17.2466666666667,16.7466666666667,1969,19.5,19.92,19.57,19.35,18.81,17.52,17.47,16.75,16.57,16.47,17.2,17.72,1968,18.0708333333333,19.0466666666667,19.2433333333333,17.2466666666667,16.7466666666667,1969,18.94,19.69,19.37,19.15,18.22,17.14,16.83,15.97,15.64,16.27,16.53,18.17,1969,17.8908333333333,19.0766666666667,19.2433333333333,16.1466666666667,1969,17.8908333333333,19.0766666666667,19.2433333333333,16.1466666666667,1968,20.3372390872954,21
1970,1970,0.727166666666667,0.691333333333333,0.761333333333333,0.777333333333333,0.678666666666667,1970,0.618,0.769,0.695,0.728,0.861,0.886,0.777,0.669,0.646,0.679,0.646,0.687,1970,0.745333333333333,0.717,0.79,0.768,0.706333333333333,1970,0.765,0.77,0.741,0.777,0.852,0.829,0.8,0.675,0.66,0.71,0.66,0.616,1970,0.741916666666667,0.646666666666667,0.761333333333333,0.706333333333333,1971,0.718833333333333,0.740666666666667,0.79,0.568333333333333,1970,1970,17.66,18.9333333333333,18.9133333333333,16.6466666666667,16.1466666666667,1970,18.94,19.69,19.37,19.15,18.22,17.14,16.83,15.97,15.64,16.27,16.53,18.17,1969,17.66,18.9333333333333,18.9133333333333,16.6466666666667,16.1466666666667,1970,19.08,19.93,19.8,19.44,18.86,17.7,17.36,16.2,16.26,15.87,16.32,17.07,1970,17.8516666666667,18.7833333333333,18.9133333333333,16.15,1970,17.8516666666667,18.7833333333333,18.9133333333333,16.15,1969,19.1845775113447,21
1971,1971,0.745333333333333,0.717,0.79,0.768,0.706333333333333,1971,0.765,0.77,0.741,0.777,0.852,0.829,0.8,0.675,0.66,0.71,0.66,0.616,1971,0.67825,0.675333333333333,0.749666666666667,0.719666666666667,0.568333333333333,1971,0.677,0.74,0.668,0.769,0.812,0.75,0.719,0.69,0.558,0.549,0.558,0.609,1971,0.718833333333333,0.740666666666667,0.79,0.568333333333333,1972,0.6765,0.677666666666667,0.749666666666667,0.686666666666667,1971,1971,17.8241666666667,18.6933333333333,19.3666666666667,17.0866666666667,16.15,1971,19.08,19.93,19.8,19.44,18.86,17.7,17.36,16.2,16.26,15.87,16.32,17.07,1970,17.8241666666667,18.6933333333333,19.3666666666667,17.0866666666667,16.15,1971,18.93,19.98,19.7,19.24,18.69,18.01,16.12,15.8,15.48,16.3,16.97,18.86,1971,17.8025,19.06,19.3666666666667,16.25,1971,17.8025,19.06,19.3666666666667,16.25,1970,19.6765630897833,22
1972,1972,0.67825,0.675333333333333,0.749666666666667,0.719666666666667,0.568333333333333,1972,0.677,0.74,0.668,0.769,0.812,0.75,0.719,0.69,0.558,0.549,0.558,0.609,1972,0.733833333333333,0.626666666666667,0.795666666666667,0.826333333333333,0.686666666666667,1972,0.639,0.542,0.653,0.804,0.93,0.827,0.879,0.773,0.664,0.654,0.664,0.699,1972,0.6765,0.677666666666667,0.749666666666667,0.686666666666667,1973,0.7805,0.596666666666667,0.795666666666667,0.724,1972,1972,17.84,19.2566666666667,19.21,16.6433333333333,16.25,1972,18.93,19.98,19.7,19.24,18.69,18.01,16.12,15.8,15.48,16.3,16.97,18.86,1971,17.84,19.2566666666667,19.21,16.6433333333333,16.25,1972,19.9,20.08,19.52,18.87,18.12,17.66,16.76,15.96,15.45,16.26,16.9,17.83,1972,17.8066666666667,18.66,19.21,16.2033333333333,1972,17.8066666666667,18.66,19.21,16.2033333333333,1971,18.7168143562505,23
1973,1973,0.733833333333333,0.626666666666667,0.795666666666667,0.826333333333333,0.686666666666667,1973,0.639,0.542,0.653,0.804,0.93,0.827,0.879,0.773,0.664,0.654,0.664,0.699,1973,0.79475,0.734333333333333,0.853666666666667,0.867,0.724,1973,0.751,0.738,0.748,0.832,0.981,0.905,0.872,0.824,0.688,0.733,0.688,0.714,1973,0.7805,0.596666666666667,0.795666666666667,0.724,1974,0.789166666666667,0.729333333333333,0.853666666666667,0.767333333333333,1973,1973,17.7758333333333,19.27,18.8366666666667,16.7933333333333,16.2033333333333,1973,19.9,20.08,19.52,18.87,18.12,17.66,16.76,15.96,15.45,16.26,16.9,17.83,1972,17.7758333333333,19.27,18.8366666666667,16.7933333333333,16.2033333333333,1973,19.79,20.07,20.03,19.7,18.94,17.82,16.72,16.05,16.6,16.28,16.84,18.06,1973,17.9591666666667,19.6133333333333,18.8366666666667,16.5733333333333,1973,17.9591666666667,19.6133333333333,18.8366666666667,16.5733333333333,1972,18.9959735013847,24
1974,1974,0.79475,0.734333333333333,0.853666666666667,0.867,0.724,1974,0.751,0.738,0.748,0.832,0.981,0.905,0.872,0.824,0.688,0.733,0.688,0.714,1974,0.806083333333333,0.698,0.869666666666667,0.889333333333333,0.767333333333333,1974,0.626,0.692,0.799,0.865,0.945,0.961,0.878,0.829,0.733,0.79,0.733,0.776,1974,0.789166666666667,0.729333333333333,0.853666666666667,0.767333333333333,1975,0.7975,0.677333333333333,0.869666666666667,0.629666666666667,1974,1974,18.075,19.3066666666667,19.5566666666667,16.8633333333333,16.5733333333333,1974,19.79,20.07,20.03,19.7,18.94,17.82,16.72,16.05,16.6,16.28,16.84,18.06,1973,18.075,19.3066666666667,19.5566666666667,16.8633333333333,16.5733333333333,1974,18.88,20.1,19.41,18.82,18.13,17.87,16.88,16.23,16.13,16.76,17.85,18.51,1974,17.8133333333333,19.23,19.5566666666667,16.9133333333333,1974,17.8133333333333,19.23,19.5566666666667,16.9133333333333,1973,18.2224356435194,24
