"","Year","FishName","Ages","Site","OtoWidth","FSLann","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
"434",1969,"X060113",5,"West",1.21783260079316,0.901607473316885,0.993158108948644,0.977544182241418,0.980933042687418,0.998342548404584,1.02023852609591,0.992707787856314,0.990453300816221,0.978049659035066,0.996765515806529,1.00797358421184
"436",1969,"X060266",5,"West",1.13695989321123,0.901543887173061,0.993134151324843,0.97751796176995,0.980904979930701,0.998321969539954,1.02021880625318,0.992705739164643,0.990444008516739,0.97806150156933,0.996766858858833,1.00796002052389
"437",1969,"X060228",7,"West",0.849793814397079,0.901512123897315,0.993121998882209,0.977504767135127,0.980890726489122,0.998311453610031,1.02020877770664,0.992704568837049,0.990439319906451,0.978067208533607,0.996767347161404,1.0079530921003
"438",1969,"X060141",10,"West",0.71006442519279,0.901480380806696,0.99310973053061,0.977491516181345,0.980876325055214,0.998300786403627,1.02019863634506,0.992703300872006,0.990434602797604,0.978072772432154,0.996767712809302,1.0079460655437
"442",1969,"X050229",8,"West",1.03701451638638,0.901353616179029,0.993059495792363,0.977437948644267,0.980817240365103,0.998256600652446,1.02015693652668,0.992697247971823,0.990415446617932,0.978093594663002,0.996767941301161,1.00791697168801
"443",1969,"X060180",17,"West",0.900904551037406,0.90132197866011,0.993046646233298,0.977424415755188,0.980802099747588,0.998245173950148,1.02014622637058,0.992695488341209,0.990410584972327,0.978098441261628,0.996767688021261,1.00790944972159
"444",1969,"X060093",3,"West",1.21280241199847,0.9012903633715,0.993033680115288,0.977410826457789,0.980786811490259,0.998233594731607,1.02013540146943,0.992693629697784,0.99040569403074,0.978103144052918,0.996767309832856,1.00790182770836
"445",1969,"X060133",1,"West",2.93693798893073,0.901258770747501,0.993020597337806,0.977397180760637,0.980771375671919,0.998221862792138,1.02012446147989,0.992691671820638,0.990400773670234,0.978107702935896,0.996766806364043,1.00789410532089
"447",1969,"X060251",19,"West",1.15492983216394,0.901195655363663,0.992994081412695,0.977369720234173,0.98074006169805,0.998197939938853,1.02010223483458,0.99268745749126,0.990390844215648,0.978116388608613,0.996765422104111,1.00787835810491
"448",1969,"X060149",32,"West",0.543818591772861,0.901164133605928,0.992980648074102,0.977355905455056,0.9807241837292,0.998185748619615,1.02009094746195,0.992685200607471,0.9903858348901,0.978120515229909,0.996764540574112,1.00787033260999
"449",1969,"X060089",30,"West",0.83363311692916,0.901132636516722,0.992967097695347,0.977342034376775,0.980708158573637,0.998173403770026,1.02007954356844,0.992682843627326,0.990380795683038,0.978124497606706,0.996763532287407,1.00786220540966
"450",1969,"X060264",15,"West",0.810648638607861,0.901101164663752,0.99295343018636,0.977328107041289,0.980691986339968,0.998160905189428,1.0200680227808,0.992680386341069,0.99037572648596,0.978128335671537,0.99676239687746,1.00785397616522
"451",1969,"X060267",20,"West",0.776965506874763,0.90106971864147,0.992939645459568,0.977314123497055,0.980675667141561,0.99814825267796,1.02005638471969,0.992677828540448,0.990370627193265,0.978132029363212,0.996761133978564,1.00784564453586
"453",1969,"X060270",5,"West",1.08004199071882,0.901006906600076,0.992911724013104,0.977285988009984,0.980642588335588,0.998122485065741,1.02003275522825,0.992672410577427,0.990360337913017,0.978138983415399,0.996758224257948,1.00782867274637
"454",1969,"X060253",10,"West",0.753920524486162,0.900975541903227,0.9928975871294,0.977271836197666,0.980625828985066,0.998109369568597,1.02002076300905,0.992669550010438,0.990355147728724,0.978142243686541,0.996756576710788,1.00782003189293
"456",1969,"X060269",7,"West",1.01990410920911,0.900912898663174,0.99286896064683,0.97724336481231,0.980591871075122,0.998082674206821,1.01999642160546,0.992663524712259,0.990344675801387,0.978148330544963,0.996752894437405,1.00780243851794
"458",1969,"X060117",13,"West",0.782826413643983,0.900850375280673,0.992839863379113,0.977214670326406,0.980557328536543,0.998055358382906,1.01997160148775,0.992657092563444,0.990334081202423,0.978153839003357,0.996748693530114,1.0077844272243
"463",1969,"X060115",9,"West",0.938424468024283,0.90069463396911,0.992765056886671,0.97714196349955,0.98046842295149,0.997984344121963,1.01990743428588,0.992639222290984,0.990307053724213,0.978165079288237,0.996735903522963,1.00773755170616
"470",1970,"X060254",24,"West",0.753229427598641,1.00622002980399,0.990189195252361,0.99341654084501,0.994909783988612,0.977489931399886,0.99378789019677,0.989698869813144,0.979277315428971,0.985298529625273,0.997247920949196,0.998949317260038
"471",1970,"X060091",12,"West",1.35125220354341,1.00618565198671,0.9901730913507,0.993401200454702,0.994890272399122,0.977474482004173,0.993774177263813,0.98969427514808,0.979271660156279,0.985299338875584,0.997244031104067,0.998938953410485
"473",1970,"X060116",9,"West",0.90405688082406,1.00611704381782,0.990140528835886,0.99337035580787,0.994850813013901,0.977443119397223,0.993746381421096,0.989684773596861,0.979260255988319,0.985300521700224,0.997235846103692,0.998917898210478
"474",1970,"X060228",8,"West",0.704595406293641,1.00608281559266,0.990124070161301,0.993354851874409,0.994830865642913,0.977427205930353,0.993732297641448,0.989679866412875,0.979254507068216,0.985300895413056,0.99723155026325,0.99890720612755
"476",1970,"X060133",2,"West",3.8684740465122,1.00601451616065,0.990090797847216,0.993323681610646,0.994790536618823,0.977394914081214,0.993703756205976,0.989669738507664,0.979242915540155,0.985301207821125,0.997222550197758,0.998885491169187
"478",1970,"X060093",4,"West",1.13341203182313,1.00594643312837,0.9900570521092,0.99329229593798,0.994749630004474,0.977362001639554,0.993674713413984,0.989659191629307,0.979231199145326,0.985300940765207,0.997213003358189,0.998863332722804
