"WestFOX...1.","xxxstd","samp.depth"
2004,0.984748598360838,16
2003,0.92961402509606,24
2002,0.962931011862986,24
2001,1.02407543107755,24
2000,1.01099610000663,24
1999,1.00210620391703,24
1998,1.01302164658083,24
1997,1.03579638185317,24
1996,1.06914529103402,24
1995,1.00656234983773,24
1994,1.00296436350486,24
1993,0.987300393885249,24
1992,0.943901762845684,24
1991,1.01530824934434,24
1990,0.982960862376563,24
1989,1.02730430642312,24
1988,1.02418082395608,24
1987,1.00150040451401,24
1986,0.987710960144412,24
1985,0.968181063402245,24
1984,1.0680995161561,24
1983,1.05112646355577,24
1982,0.984897889937197,24
1981,0.989736799365062,24
1980,0.994829524684798,24
1979,1.01194889239499,24
1978,1.02298337223028,24
1977,0.956235259896968,24
1976,0.986452411246448,24
1975,0.962987742071257,24
1974,0.950006144137359,24
1973,0.947138524439123,24
1972,0.980135796658252,24
1971,1.01173992952445,23
1970,1.00914146565187,22
1969,1.02484439621222,22
1968,1.01796668678441,22
1967,0.980715484411917,17
1966,0.992626479462741,15
1965,0.996686718716736,13
1964,0.940131578978578,13
1963,0.946889275515654,12
1962,0.986974763040087,10
1961,1.04363507497391,9
1960,0.945847653835758,8
1959,0.940568853511219,8
1958,0.994530567738757,8
1957,1.00159658070372,8
1956,1.00483533640333,7
1955,1.02350821168976,7
1954,0.941052028896238,6
