"SouthFOX...1.","xxxstd","samp.depth"
2005,1.00362721841657,26
2004,0.945938591994479,29
2003,0.93892738513249,29
2002,0.983996778938131,29
2001,1.06173305200705,29
2000,1.05299766993101,29
1999,1.050746183784,29
1998,1.01578258222998,29
1997,1.0707380360416,29
1996,1.01333712645248,29
1995,1.02522226281636,29
1994,0.940501398951679,29
1993,0.872339456062532,29
1992,0.904555352133287,29
1991,0.94586992951229,29
1990,1.04546310685387,29
1989,1.02553403583394,29
1988,1.02402734441152,29
1987,0.963079307068365,29
1986,1.03382396723485,29
1985,1.0338544559958,29
1984,1.05785832423613,29
1983,1.07881247775577,29
1982,1.0008817427144,29
1981,0.962823657056109,29
1980,0.967330846977777,29
1979,0.96926247427694,29
1978,1.02649857388355,29
1977,1.01843160897536,29
1976,0.99447284470719,29
1975,1.01514353161323,29
1974,0.98688007753241,29
1973,0.963028843571654,29
1972,1.00474240226478,27
1971,1.00356791928118,26
1970,0.991997504048977,25
1969,1.00209203063611,25
1968,0.923819050416321,23
1967,0.927362550946088,23
1966,1.0000268447307,22
1965,1.00024882154052,22
1964,0.979619142834728,19
1963,0.98171185861041,18
1962,0.957577528567741,15
1961,0.980984993330578,13
1960,0.985512999299916,12
1959,0.985263129259666,10
1958,0.991132647257682,9
1957,1.02127190095811,9
1956,1.01372667486624,8
1955,0.983048083671734,7
1954,0.996117264163441,6
1953,1.01006224555143,6
