Year,050229,050247,060087,060089,060091,060093,060113,060115,060116,060117,060118,060119,060131,060133,060135,060141,060149,060180,060227,060228,060251,060253,060254,060264,060266,060267,060269,060270,060271
2005,,,20.18325,16.45033333,19.691,21.79925,,15.17966667,21.97133333,13.833,23.308,14.64366667,15.71533333,24.69966667,15.466,10.05833333,10.984,15.17433333,15.05933333,17.44966667,20.896,18.73133333,13.53733333,11.09133333,17.696,16.44233333,14.44533333,15.787,8.393333333
2004,21.89166667,16.838,22.98575,14.54433333,22.957,21.8795,22.168,17.13733333,17.85266667,14.491,19.30233333,11.54333333,15.55466667,19.49066667,10.36833333,14.01566667,9.063333333,13.63633333,13.88933333,15.71366667,19.8675,15.97166667,14.75266667,11.95533333,21.89733333,13.80766667,14.92966667,13.896,8.591666667
2003,24.281,18.014,25.131,17.48866667,27.63666667,16.2655,22.06033333,15.66,16.89966667,14.459,15.26333333,11.53166667,12.97866667,17.805,13.57933333,13.499,11.61866667,15.845,15.929,14.85066667,14.7085,15.75766667,15.966,10.4,13.08033333,13.829,16.142,14.41533333,10.719
2002,19.34266667,17.225,22.24775,13.67766667,26.76266667,24.60575,24.886,14.27433333,19.908,17.50933333,21.50266667,18.408,16.71966667,23.91433333,14.59133333,14.018,10.653,12.60733333,15.397,13.64533333,18.3205,14.30633333,13.538,14.38433333,16.80566667,14.563,15.45233333,12.53466667,13.92266667
2001,30.99966667,19.69066667,22.74325,13.80933333,19.84633333,21.34175,24.94866667,15.77266667,15.325,16.84066667,22.99733333,18.945,19.466,24.74366667,16.118,17.303,11.47933333,14.318,16.87633333,21.41533333,20.8935,15.30033333,16.48766667,17.667,18.35533333,15.536,21.98366667,10.98833333,12.65866667
2000,30.34666667,20.95233333,17.146,15.92566667,20.71533333,24.76725,26.278,17.34133333,17.84233333,18.34566667,24.00733333,17.22766667,15.407,26.09666667,15.10966667,14.018,14.25233333,13.794,16.20433333,18.32433333,17.542,15.59466667,15.79333333,18.72133333,17.701,14.11566667,16.31066667,18.36766667,15.03166667
1999,25.272,20.058,18.812,16.581,23.658,21.93525,29.56866667,15.681,18.46833333,14.79133333,22.332,12.39466667,19.28666667,24.25366667,15.774,19.38066667,14.348,13.29733333,20.31333333,18.15533333,22.9625,17.113,15.967,12.99266667,19.56633333,16.475,13.72466667,16.31033333,15.021
1998,23.407,18.75366667,20.35625,13.82266667,22.09933333,26.177,25.494,13.92866667,21.66,16.375,22.17233333,16.35133333,15.918,24.40366667,15.09466667,13.31866667,11.776,12.95633333,16.46466667,20.22266667,20.3785,15.53466667,19.09133333,17.68366667,17.852,13.34333333,17.85733333,16.826,15.61033333
1997,29.86066667,21.79666667,17.50275,10.79,23.294,26.00925,24.93066667,14.22466667,20.069,17.22566667,23.32233333,18.60033333,17.93066667,27.111,15.91666667,16.60333333,11.49733333,15.51366667,19.68133333,17.111,19.3465,16.861,17.18233333,17.49833333,18.942,15.69166667,20.77533333,20.24766667,13.84333333
1996,26.30166667,19.003,23.08775,18.24833333,20.878,20.93475,22.72533333,11.70933333,19.43333333,16.37066667,20.98633333,13.25,17.79633333,24.90933333,16.97466667,15.56933333,15.37566667,15.158,16.68533333,19.54633333,20.3795,16.02733333,15.967,12.30166667,17.40566667,14.60866667,16.79566667,19.39733333,20.09866667
1995,19.84366667,19.91233333,18.2945,11.58166667,16.577,26.499,26.58966667,16.16366667,21.33,15.72133333,23.33733333,19.271,18.83066667,25.93566667,14.929,12.45533333,12.17766667,15.67333333,18.535,15.90366667,21.153,15.24666667,15.96733333,19.756,18.844,15.33866667,17.10833333,14.42366667,17.325
