,(Intercept),FinFSLdat_AnnEsts,FinWestSST_AnnEsts,FinWestSST_SummerDat,FSL_months_Apr,FSLdat_Spring,s(Ages),SST_West_Months_Jul,SST_West_Months_Jun,SST_West_Months_Oct,SST_West_Months_Sep,WestSST_Spring,WestSST_Winter,df,logLik,AICc,delta,weight
3324,-6.78815447,-6.11702302,1.533722073,NA,3.930968307,4.938441512,+,0.868606576,0.365890594,NA,NA,-0.359410854,-1.23360041,13,-3291.807447,6609.932244,4.407971345,0.005581159
1728,-13.20417984,-7.486370226,2.055618456,0.250984044,3.640596816,6.354128303,+,NA,-0.125276398,NA,0.775497854,-1.465490543,NA,13,-3291.826804,6609.970958,4.446684904,0.005474164
3136,-14.1936986,-5.992009003,2.02781209,0.335858515,3.45302877,4.827417326,+,NA,NA,NA,NA,-1.011112455,0.162136388,12,-3292.853662,6609.979101,4.454827936,0.005451921
1404,-8.776335467,-5.837186461,1.779836688,NA,3.72252183,5.169367892,+,0.306909978,NA,0.284701428,NA,-1.113415742,NA,12,-3292.854288,6609.980353,4.456080148,0.005448509
3968,-12.27998885,-6.065226505,1.796765586,0.311209443,3.014977337,5.612584184,+,0.588472243,NA,0.500213864,0.91588035,-1.968543281,-0.687463406,15,-3289.788663,6609.99654,4.472266946,0.00540459
1920,-14.80367617,-6.728677093,2.060028432,0.305362145,3.124202939,5.815940113,+,0.202594941,NA,0.524804429,0.793762292,-2.312528939,NA,14,-3290.831867,6610.030226,4.50595318,0.005314322
188,-6.239491552,-5.558178396,1.321540784,NA,3.110817847,5.410879926,+,NA,-0.143584268,NA,NA,NA,NA,10,-3294.974096,6610.139497,4.615224729,0.005031759
2176,-9.600693518,-3.586943354,1.04342012,0.317068256,2.241211585,3.857895282,+,0.784768361,NA,NA,NA,NA,-0.797323911,12,-3292.954221,6610.180219,4.655946229,0.004930345
3388,-9.372529793,-6.652487338,2.039892394,NA,4.098405379,5.557407702,+,NA,NA,0.248615132,NA,-1.224412787,0.208881436,12,-3292.958664,6610.189105,4.664832656,0.004908487
2682,4.058209835,-1.534218198,NA,NA,1.867623116,4.058488146,+,1.056974904,NA,NA,0.805227483,NA,-1.178214096,11,-3294.038081,6610.305927,4.781654298,0.004629991
